,Country,ratio,total,year,month
243,BD,0.0403587443946188,223.0,2020,11
244,BE,-0.1420807453416149,1288.0,2020,11
245,BF,-0.25,4.0,2020,11
246,BG,0.0253164556962025,79.0,2020,11
247,BH,-0.1313131313131313,99.0,2020,11
248,BI,0.6,5.0,2020,11
249,BJ,-0.1111111111111111,9.0,2020,11
250,BL,0.5,2.0,2020,11
251,BM,-0.079646017699115,113.0,2020,11
252,BN,-0.074074074074074,27.0,2020,11
253,BO,0.1666666666666666,12.0,2020,11
254,BQ,-0.2222222222222222,9.0,2020,11
255,BR,-0.0701030927835051,1455.0,2020,11
256,BS,-0.1813186813186813,546.0,2020,11
257,BT,0.1176470588235294,17.0,2020,11
258,BW,-0.1776937618147448,529.0,2020,11
259,BY,-0.1,10.0,2020,11
260,BZ,-0.1714285714285714,70.0,2020,11
261,CA,-0.2558643976833113,44719.0,2020,11
262,CD,-0.1333333333333333,45.0,2020,11
263,CF,0.0,2.0,2020,11
264,CG,0.3333333333333333,6.0,2020,11
265,CH,-0.0161090458488228,807.0,2020,11
266,CI,0.0,26.0,2020,11
267,CL,0.0246913580246913,162.0,2020,11
268,CM,-0.1153846153846153,52.0,2020,11
269,CN,-0.1242362525458248,491.0,2020,11
270,CO,-0.2309523809523809,420.0,2020,11
271,CR,-0.3799283154121863,279.0,2020,11
272,CU,0.0,9.0,2020,11
273,CV,0.125,16.0,2020,11
274,CW,0.0,8.0,2020,11
275,CY,-0.0828402366863905,169.0,2020,11
276,CZ,-0.1231527093596059,203.0,2020,11
277,DE,-0.1294117647058823,3315.0,2020,11
278,DJ,-0.7027027027027027,37.0,2020,11
279,DK,-0.2923387096774194,496.0,2020,11
280,DM,0.1052631578947368,19.0,2020,11
281,DO,-0.0458715596330275,109.0,2020,11
282,DZ,-0.2592592592592592,27.0,2020,11
283,EC,-0.0967741935483871,124.0,2020,11
284,EE,0.0793650793650793,63.0,2020,11
285,EG,-0.0454545454545454,242.0,2020,11
286,ER,1.0,1.0,2020,11
287,ES,-0.1747700394218134,2283.0,2020,11
288,ET,-0.0566037735849056,106.0,2020,11
289,FI,-0.0930232558139534,344.0,2020,11
290,FJ,0.009009009009009,111.0,2020,11
291,FK,-1.0,1.0,2020,11
292,FO,0.0,2.0,2020,11
293,FR,-0.0805025593299209,2149.0,2020,11
294,GA,-0.4444444444444444,9.0,2020,11
295,GB,-0.1695625781110516,140025.0,2020,11
296,GD,-0.1578947368421052,38.0,2020,11
297,GE,-0.1111111111111111,45.0,2020,11
298,GF,0.6666666666666666,3.0,2020,11
299,GG,0.0,6.0,2020,11
300,GH,-0.0663824604141291,1642.0,2020,11
301,GI,-0.3679245283018867,106.0,2020,11
302,GL,-1.0,1.0,2020,11
303,GM,-0.4166666666666667,84.0,2020,11
304,GN,0.25,4.0,2020,11
305,GP,0.375,8.0,2020,11
306,GR,-0.1314741035856573,502.0,2020,11
307,GT,-0.25,60.0,2020,11
308,GU,-0.1818181818181818,33.0,2020,11
309,GW,-0.5,2.0,2020,11
310,GY,-0.0606060606060606,33.0,2020,11
311,HK,-0.1708333333333333,480.0,2020,11
312,HN,-0.3611111111111111,108.0,2020,11
313,HR,-0.3612903225806451,155.0,2020,11
314,HT,-0.1538461538461538,26.0,2020,11
315,HU,-0.1920529801324503,151.0,2020,11
316,ID,0.0822884012539185,1276.0,2020,11
317,IE,-0.1162895418214567,8883.0,2020,11
318,IL,-0.4103092783505154,485.0,2020,11
319,IM,-0.1923076923076923,130.0,2020,11
320,IN,-0.2098212399104086,23663.0,2020,11
321,IO,-1.0,1.0,2020,11
322,IQ,-0.1909090909090909,110.0,2020,11
323,IR,-0.3164556962025316,79.0,2020,11
324,IS,-0.2650602409638554,83.0,2020,11
325,IT,-0.0561959654178674,2082.0,2020,11
326,JE,0.1428571428571428,7.0,2020,11
327,JM,-0.1751054852320675,948.0,2020,11
328,JO,0.0425531914893617,94.0,2020,11
329,JP,-0.2797319932998325,1194.0,2020,11
330,KE,-0.2466768916155419,3912.0,2020,11
331,KG,0.25,4.0,2020,11
332,KH,-0.0394736842105263,76.0,2020,11
333,KN,-0.2,15.0,2020,11
334,KP,1.0,1.0,2020,11
335,KR,-0.2327272727272727,550.0,2020,11
336,KW,0.0568181818181818,176.0,2020,11
337,KY,-0.3728813559322034,59.0,2020,11
338,KZ,-0.24,25.0,2020,11
339,LA,-0.3333333333333333,6.0,2020,11
340,LB,-0.055327868852459,488.0,2020,11
341,LC,-0.2641509433962264,106.0,2020,11
342,LI,0.0,3.0,2020,11
343,LK,-0.2535070140280561,998.0,2020,11
344,LR,-0.3043478260869565,23.0,2020,11
345,LS,-0.2738095238095238,84.0,2020,11
346,LT,0.1,40.0,2020,11
347,LU,0.0681818181818181,88.0,2020,11
348,LV,-0.2105263157894736,57.0,2020,11
349,LY,-0.0833333333333333,24.0,2020,11
350,MA,0.024390243902439,41.0,2020,11
351,MC,0.0714285714285714,14.0,2020,11
352,MD,-0.1111111111111111,27.0,2020,11
353,ME,0.08,25.0,2020,11
354,MF,0.0,3.0,2020,11
355,MG,0.1428571428571428,7.0,2020,11
356,MH,0.5,2.0,2020,11
357,MK,0.0,19.0,2020,11
358,ML,-0.2,5.0,2020,11
359,MM,0.1818181818181818,77.0,2020,11
360,MN,0.0,88.0,2020,11
361,MO,0.0,5.0,2020,11
362,MP,-0.2307692307692307,13.0,2020,11
363,MQ,-0.5,2.0,2020,11
364,MR,0.4,5.0,2020,11
365,MS,0.0,3.0,2020,11
366,MT,0.0,79.0,2020,11
367,MU,-0.2696629213483146,89.0,2020,11
368,MV,-0.0221238938053097,226.0,2020,11
369,MW,-0.208,125.0,2020,11
370,MX,-0.1898034398034398,1628.0,2020,11
371,MY,-0.060614849187935,3448.0,2020,11
372,MZ,-0.2105263157894736,38.0,2020,11
373,NC,1.0,1.0,2020,11
374,NE,-0.5,2.0,2020,11
375,NF,-1.0,1.0,2020,11
376,NG,-0.1761819803746654,4484.0,2020,11
377,NI,-0.1111111111111111,18.0,2020,11
378,NL,-0.0888129803586678,2342.0,2020,11
379,NO,-0.1164383561643835,438.0,2020,11
380,NP,0.0188679245283018,371.0,2020,11
381,NZ,-0.2816007808687164,2049.0,2020,11
382,OM,-0.0066225165562913,151.0,2020,11
383,PA,-0.2363636363636363,165.0,2020,11
384,PE,-0.1415094339622641,106.0,2020,11
385,PF,-0.1666666666666666,6.0,2020,11
386,PG,-0.1842105263157894,38.0,2020,11
387,PH,0.0437900128040973,3905.0,2020,11
388,PK,-0.2024507192328183,3754.0,2020,11
389,PL,-0.2063492063492063,504.0,2020,11
390,PR,0.0,2.0,2020,11
391,PT,-0.2076677316293929,626.0,2020,11
392,PW,0.3333333333333333,3.0,2020,11
393,PY,0.064516129032258,31.0,2020,11
394,QA,-0.0572687224669603,227.0,2020,11
395,RE,-0.5,10.0,2020,11
396,RO,-0.2554744525547445,137.0,2020,11
397,RS,-0.0288461538461538,104.0,2020,11
398,RU,-0.3229166666666667,192.0,2020,11
399,RW,0.1791044776119403,134.0,2020,11
400,SA,-0.0069930069930069,572.0,2020,11
401,SB,-0.1666666666666666,6.0,2020,11
402,SC,-0.6666666666666666,3.0,2020,11
403,SD,0.0,2.0,2020,11
404,SE,-0.2022703818369453,969.0,2020,11
405,SG,-0.1528822055137844,798.0,2020,11
406,SH,1.0,1.0,2020,11
407,SI,0.0,60.0,2020,11
408,SK,-0.1864406779661017,59.0,2020,11
409,SL,-0.1162790697674418,43.0,2020,11
410,SN,-0.0909090909090909,55.0,2020,11
411,SO,-0.1025641025641025,39.0,2020,11
412,SR,-0.5625,16.0,2020,11
413,SV,0.0689655172413793,29.0,2020,11
414,SX,0.3333333333333333,3.0,2020,11
415,SY,-0.1666666666666666,12.0,2020,11
416,SZ,-0.1296296296296296,54.0,2020,11
417,TC,-0.0833333333333333,24.0,2020,11
418,TD,-0.5,2.0,2020,11
419,TF,0.0,1.0,2020,11
420,TG,0.6666666666666666,3.0,2020,11
421,TH,-0.1147540983606557,732.0,2020,11
422,TJ,1.0,1.0,2020,11
423,TL,-0.1111111111111111,9.0,2020,11
424,TM,1.0,1.0,2020,11
425,TN,-0.09375,32.0,2020,11
426,TO,-0.1428571428571428,7.0,2020,11
427,TR,-0.1035911602209944,724.0,2020,11
428,TT,-0.1909871244635193,466.0,2020,11
429,TW,-0.0939086294416243,394.0,2020,11
430,TZ,-0.04,100.0,2020,11
431,UA,-0.2150537634408602,93.0,2020,11
432,UG,-0.2088688946015424,1556.0,2020,11
433,UM,0.0,22.0,2020,11
434,US,-0.2934825123936871,439740.0,2020,11
435,UY,-0.3786407766990291,103.0,2020,11
436,UZ,0.1818181818181818,11.0,2020,11
437,VA,-1.0,1.0,2020,11
438,VC,-0.2619047619047619,42.0,2020,11
439,VE,-0.2777777777777778,126.0,2020,11
440,VG,-0.2857142857142857,14.0,2020,11
441,VI,-0.2727272727272727,22.0,2020,11
442,VN,-0.1147540983606557,183.0,2020,11
443,VU,0.3846153846153846,13.0,2020,11
444,WS,-0.3636363636363636,22.0,2020,11
445,XK,-0.1232876712328767,73.0,2020,11
446,YE,-0.16,25.0,2020,11
447,ZA,-0.2117832117832117,6993.0,2020,11
448,ZM,-0.2087378640776699,206.0,2020,11
449,ZW,-0.203076923076923,325.0,2020,11
450,AD,0.0,4.0,2020,9
451,AE,-0.1058365758754863,1285.0,2020,9
452,AF,0.4,25.0,2020,9
453,AG,-0.1770833333333333,96.0,2020,9
454,AI,-0.125,8.0,2020,9
455,AL,-0.131578947368421,38.0,2020,9
456,AM,-0.1875,32.0,2020,9
457,AO,-0.1111111111111111,18.0,2020,9
458,AQ,0.0,1.0,2020,9
459,AR,0.0207253886010362,386.0,2020,9
460,AS,-1.0,2.0,2020,9
461,AT,-0.1382978723404255,282.0,2020,9
462,AU,-0.2967664670658683,16700.0,2020,9
463,AW,-0.2222222222222222,18.0,2020,9
464,AX,1.0,1.0,2020,9
465,AZ,-0.0625,16.0,2020,9
466,BA,-0.1818181818181818,11.0,2020,9
467,BB,-0.1111111111111111,189.0,2020,9
468,BD,-0.1050228310502283,219.0,2020,9
469,BE,-0.1307420494699646,849.0,2020,9
470,BF,-0.2,5.0,2020,9
471,BG,0.0612244897959183,49.0,2020,9
472,BH,-0.1257142857142857,175.0,2020,9
473,BI,-0.2857142857142857,7.0,2020,9
474,BJ,0.1,10.0,2020,9
475,BL,0.0,1.0,2020,9
476,BM,-0.0166666666666666,60.0,2020,9
477,BN,-0.2592592592592592,27.0,2020,9
478,BO,-0.2,10.0,2020,9
479,BQ,-0.25,4.0,2020,9
480,BR,-0.111310592459605,1114.0,2020,9
481,BS,-0.228125,320.0,2020,9
482,BT,0.0434782608695652,46.0,2020,9
483,BW,-0.1961102106969205,617.0,2020,9
484,BY,0.0,12.0,2020,9
485,BZ,-0.1690140845070422,71.0,2020,9
486,CA,-0.2444009713977334,29648.0,2020,9
487,CD,-0.1020408163265306,49.0,2020,9
488,CF,0.5,2.0,2020,9
489,CG,0.1666666666666666,6.0,2020,9
490,CH,-0.0958702064896755,678.0,2020,9
491,CI,0.1818181818181818,22.0,2020,9
492,CK,-1.0,1.0,2020,9
493,CL,-0.130718954248366,153.0,2020,9
494,CM,0.3563218390804598,87.0,2020,9
495,CN,-0.1274193548387096,620.0,2020,9
496,CO,-0.1935483870967742,279.0,2020,9
497,CR,-0.417391304347826,115.0,2020,9
498,CU,0.5333333333333333,15.0,2020,9
499,CV,0.8888888888888888,9.0,2020,9
500,CW,-0.25,4.0,2020,9
501,CY,-0.2247191011235955,267.0,2020,9
502,CZ,-0.2011173184357542,179.0,2020,9
503,DE,-0.1214953271028037,1819.0,2020,9
504,DJ,-0.6296296296296297,27.0,2020,9
505,DK,-0.2008639308855291,463.0,2020,9
506,DM,0.0,9.0,2020,9
507,DO,-0.2234042553191489,94.0,2020,9
508,DZ,0.0476190476190476,21.0,2020,9
509,EC,0.0344827586206896,116.0,2020,9
510,EE,-0.081081081081081,37.0,2020,9
511,EG,-0.0822784810126582,158.0,2020,9
512,EH,0.0,1.0,2020,9
513,ES,-0.1627906976744186,1763.0,2020,9
514,ET,-0.057471264367816,174.0,2020,9
515,FI,-0.0602836879432624,282.0,2020,9
516,FJ,0.0603448275862069,116.0,2020,9
517,FM,0.3333333333333333,3.0,2020,9
518,FO,1.0,1.0,2020,9
519,FR,-0.1923774954627949,1653.0,2020,9
520,GA,0.0,9.0,2020,9
521,GB,-0.2879526526692889,108306.0,2020,9
522,GD,-0.0526315789473684,19.0,2020,9
523,GE,-0.4848484848484848,99.0,2020,9
524,GF,0.5,14.0,2020,9
525,GG,-0.4285714285714285,7.0,2020,9
526,GH,-0.0944625407166123,1535.0,2020,9
527,GI,-0.3142857142857143,70.0,2020,9
528,GM,0.0547945205479452,73.0,2020,9
529,GN,0.2857142857142857,7.0,2020,9
530,GP,0.4,5.0,2020,9
531,GR,-0.3024691358024691,648.0,2020,9
532,GS,-1.0,1.0,2020,9
533,GT,0.0,39.0,2020,9
534,GU,-0.108695652173913,46.0,2020,9
535,GW,0.5,2.0,2020,9
536,GY,-0.375,16.0,2020,9
537,HK,-0.1924198250728863,343.0,2020,9
538,HN,-0.2857142857142857,70.0,2020,9
539,HR,-0.1485148514851485,101.0,2020,9
540,HT,0.2142857142857142,14.0,2020,9
541,HU,-0.0121951219512195,82.0,2020,9
542,ID,0.003727369542066,1878.0,2020,9
543,IE,-0.2158873805932629,9945.0,2020,9
544,IL,-0.4920454545454545,880.0,2020,9
545,IM,-0.3,140.0,2020,9
546,IN,-0.2941430266422176,37084.0,2020,9
547,IQ,-0.2441860465116279,86.0,2020,9
548,IR,-0.0606060606060606,33.0,2020,9
549,IS,-0.3928571428571428,56.0,2020,9
550,IT,-0.1050698016164584,1361.0,2020,9
551,JE,-0.5,4.0,2020,9
552,JM,-0.2278106508875739,2028.0,2020,9
553,JO,-0.0461538461538461,65.0,2020,9
554,JP,-0.2017291066282421,694.0,2020,9
555,KE,-0.20873598763046,2587.0,2020,9
556,KG,-0.4,5.0,2020,9
557,KH,-0.2638888888888889,72.0,2020,9
558,KI,0.5,2.0,2020,9
559,KM,1.0,1.0,2020,9
560,KN,-0.5555555555555556,9.0,2020,9
561,KR,-0.2286184210526315,608.0,2020,9
562,KW,-0.125,152.0,2020,9
563,KY,-0.1527777777777778,72.0,2020,9
564,KZ,-0.0588235294117647,17.0,2020,9
565,LA,-0.1,10.0,2020,9
566,LB,-0.1850533807829181,281.0,2020,9
567,LC,-0.2363636363636363,55.0,2020,9
568,LI,-0.8,20.0,2020,9
569,LK,-0.2350746268656716,268.0,2020,9
570,LR,0.0571428571428571,35.0,2020,9
571,LS,-0.1842105263157894,76.0,2020,9
572,LT,-0.2771084337349397,83.0,2020,9
573,LU,0.1388888888888889,36.0,2020,9
574,LV,-0.1971830985915492,71.0,2020,9
575,LY,-0.3333333333333333,12.0,2020,9
576,MA,-0.1967213114754098,61.0,2020,9
577,MC,-0.3,10.0,2020,9
578,MD,-0.4123711340206185,97.0,2020,9
579,ME,0.1666666666666666,30.0,2020,9
580,MF,1.0,1.0,2020,9
581,MG,-0.3333333333333333,3.0,2020,9
582,MH,0.5,2.0,2020,9
583,MK,-0.4,30.0,2020,9
584,ML,0.4285714285714285,7.0,2020,9
585,MM,-0.0588235294117647,102.0,2020,9
586,MN,0.0,23.0,2020,9
587,MO,-0.125,8.0,2020,9
588,MP,-0.1666666666666666,18.0,2020,9
589,MQ,0.5,2.0,2020,9
590,MR,1.0,1.0,2020,9
591,MS,0.0,3.0,2020,9
592,MT,-0.2159090909090909,88.0,2020,9
593,MU,0.074074074074074,27.0,2020,9
594,MV,-0.1349206349206349,252.0,2020,9
595,MW,-0.1382978723404255,188.0,2020,9
596,MX,-0.1863765373699148,1057.0,2020,9
597,MY,-0.1399530883502736,2558.0,2020,9
598,MZ,0.0,19.0,2020,9
599,NC,-0.3333333333333333,3.0,2020,9
600,NE,0.0,3.0,2020,9
601,NG,-0.1339510258107213,7555.0,2020,9
602,NI,-0.4615384615384615,13.0,2020,9
603,NL,-0.2269031781226903,1353.0,2020,9
604,NO,-0.1505376344086021,279.0,2020,9
605,NP,-0.1134020618556701,582.0,2020,9
606,NZ,-0.3225352112676056,2130.0,2020,9
607,OM,-0.0728155339805825,206.0,2020,9
608,PA,-0.1416666666666666,120.0,2020,9
609,PE,-0.0126582278481012,79.0,2020,9
610,PF,0.6,5.0,2020,9
611,PG,0.3157894736842105,19.0,2020,9
612,PH,0.0075535039865715,4766.0,2020,9
613,PK,-0.232519422863485,1802.0,2020,9
614,PL,-0.2819277108433735,415.0,2020,9
615,PR,-0.3333333333333333,3.0,2020,9
616,PT,-0.3187311178247734,662.0,2020,9
617,PW,0.0,2.0,2020,9
618,PY,-0.2291666666666666,48.0,2020,9
619,QA,-0.07421875,256.0,2020,9
620,RE,-0.5,2.0,2020,9
621,RO,0.0526315789473684,95.0,2020,9
